الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,فَعْلَلَ
دغوش,د,غ,و,ش,ل
دفطس,د,ف,ط,س,ل
دقدق,د,ق,د,ق,ك
دكدك,د,ك,د,ك,ك
دكدك,د,ك,د,ك,م
دلبح,د,ل,ب,ح,ل
دلدل,د,ل,د,ل,ك
دلمز,د,ل,م,ز,ل
دلمص,د,ل,م,ص,م
دلهث,د,ل,ه,ث,ل
دمحق,د,م,ح,ق,م
دمحل,د,م,ح,ل,م
دمخق,د,م,خ,ق,ل
دمدم,د,م,د,م,ك
دمشق,د,م,ش,ق,ك
دمكل,د,م,ك,ل,م
دملج,د,م,ل,ج,ك
دملح,د,م,ل,ح,م
دملق,د,م,ل,ق,م
دملك,د,م,ل,ك,م
دندن,د,ن,د,ن,ل
دنفش,د,ن,ف,ش,ل
دنقر,د,ن,ق,ر,ل
دنقس,د,ن,ق,س,ك
دنقش,د,ن,ق,ش,ك
دنقع,د,ن,ق,ع,ل
دنكس,د,ن,ك,س,ل
دهبل,د,ه,ب,ل,ك
دهدر,د,ه,د,ر,ل
دهدع,د,ه,د,ع,ك
دهدق,د,ه,د,ق,ك
دهدم,د,ه,د,م,م
دهده,د,ه,د,ه,م
دهدي,د,ه,د,ي,م
دهسم,د,ه,س,م,م
دهشر,د,ه,ش,ر,ك
دهفش,د,ه,ف,ش,م
دهقش,د,ه,ق,ش,م
دهقل,د,ه,ق,ل,م
دهقن,د,ه,ق,ن,ك
دهكل,د,ه,ك,ل,ك
دهلق,د,ه,ل,ق,م
دهمج,د,ه,م,ج,ك
دهمس,د,ه,م,س,م
دهمق,د,ه,م,ق,ك
دهنج,د,ه,ن,ج,ك
دهور,د,ه,و,ر,ك
دوزن,د,و,ز,ن,ك
دوقل,د,و,ق,ل,ك
دومل,د,و,م,ل,ل
ديكس,د,ي,ك,س,ل
ذأذأ,ذ,أ,ذ,أ,ل
ذبذب,ذ,ب,ذ,ب,ك
ذحذح,ذ,ح,ذ,ح,ك
ذحلم,ذ,ح,ل,م,م
ذحمل,ذ,ح,م,ل,م
ذرذر,ذ,ر,ذ,ر,م
ذرطأ,ذ,ر,ط,أ,ل
ذرطي,ذ,ر,ط,ي,ل
ذرقط,ذ,ر,ق,ط,م
ذرمل,ذ,ر,م,ل,ل
ذعذع,ذ,ع,ذ,ع,م
ذعلف,ذ,ع,ل,ف,م
ذعمط,ذ,ع,م,ط,م
ذفذف,ذ,ف,ذ,ف,ك
ذفطس,ذ,ف,ط,س,ل
ذمحل,ذ,م,ح,ل,م
ذمذم,ذ,م,ذ,م,ل
ذملق,ذ,م,ل,ق,ك
رأبل,ر,أ,ب,ل,ل
رأرأ,ر,أ,ر,أ,ل
ربرب,ر,ب,ر,ب,ل
رترت,ر,ت,ر,ت,ل
رجرج,ر,ج,ر,ج,ك
رحرح,ر,ح,ر,ح,ك
رزرز,ر,ز,ر,ز,م
رسرس,ر,س,ر,س,ك
رسمل,ر,س,م,ل,م
رشرش,ر,ش,ر,ش,ل
رصرص,ر,ص,ر,ص,ك
رضرض,ر,ض,ر,ض,م
رعبل,ر,ع,ب,ل,ك
رعدد,ر,ع,د,د,ل
رعرع,ر,ع,ر,ع,ك
رغرغ,ر,غ,ر,غ,ك
رفرف,ر,ف,ر,ف,ل
رقرق,ر,ق,ر,ق,ك
ركرك,ر,ك,ر,ك,ل
رمرم,ر,م,ر,م,ل
رهبل,ر,ه,ب,ل,ل
رهدن,ر,ه,د,ن,ل
رهره,ر,ه,ر,ه,ك
رهسم,ر,ه,س,م,ك
رهمس,ر,ه,م,س,ك
رهوك,ر,ه,و,ك,ل
رهيأ,ر,ه,ي,أ,ك
رودك,ر,و,د,ك,م
رودن,ر,و,د,ن,ل
زأبر,ز,أ,ب,ر,ك
زأبق,ز,أ,ب,ق,م
زأزأ,ز,أ,ز,أ,ك
زبرج,ز,ب,ر,ج,م
زبرق,ز,ب,ر,ق,م
زبزب,ز,ب,ز,ب,ل
زحزح,ز,ح,ز,ح,م
زحلف,ز,ح,ل,ف,ك
زحلق,ز,ح,ل,ق,م
زحمر,ز,ح,م,ر,م
زحول,ز,ح,و,ل,م
زخرف,ز,خ,ر,ف,م
زخزخ,ز,خ,ز,خ,م
زربق,ز,ر,ب,ق,م
زردب,ز,ر,د,ب,م
زردم,ز,ر,د,م,م
زرزر,ز,ر,ز,ر,ل
زرفق,ز,ر,ف,ق,ل
زرفن,ز,ر,ف,ن,م
زرقف,ز,ر,ق,ف,ل
زرقل,ز,ر,ق,ل,ك
زركش,ز,ر,ك,ش,م
زرنق,ز,ر,ن,ق,ك
زعبق,ز,ع,ب,ق,م
زعبل,ز,ع,ب,ل,ل
زعزع,ز,ع,ز,ع,ك
زعفر,ز,ع,ف,ر,م
زعنف,ز,ع,ن,ف,م
زغبر,ز,غ,ب,ر,ل
زغدب,ز,غ,د,ب,ل
زغرد,ز,غ,ر,د,ل
زغزغ,ز,غ,ز,غ,ك
زغفل,ز,غ,ف,ل,ل
زغلل,ز,غ,ل,ل,م
زفزف,ز,ف,ز,ف,ك
