الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,الحرف الرابع للجذر,تفعلل,افعنلل,افعللّ
رشرش,ر,ش,ر,ش,ل,,
رضرض,ر,ض,ر,ض,ل,,
رعبل,ر,ع,ب,ل,ل,,
رعدد,ر,ع,د,د,ل,,
رعرع,ر,ع,ر,ع,ل,,
رغلد,ر,غ,ل,د,,,ل
رفأن,ر,ف,أ,ن,,,ل
رفرف,ر,ف,ر,ف,ل,,
رقرق,ر,ق,ر,ق,ل,,
ركرك,ر,ك,ر,ك,ك,,
رمأد,ر,م,أ,د,,,ل
رمأز,ر,م,أ,ز,,,ل
رمرم,ر,م,ر,م,ل,,
رمعل,ر,م,ع,ل,,,ل
رمغل,ر,م,غ,ل,,,ل
رمغن,ر,م,غ,ن,,,ل
رمهز,ر,م,ه,ز,,,ل
رهره,ر,ه,ر,ه,ل,,
رهشش,ر,ه,ش,ش,ل,,
رهوك,ر,ه,و,ك,ل,,
رهيأ,ر,ه,ي,أ,ل,,
زأزأ,ز,أ,ز,أ,ل,,
زبأر,ز,ب,أ,ر,,,ل
زبتر,ز,ب,ت,ر,ل,,
زبعر,ز,ب,ع,ر,ل,,
زبغل,ز,ب,غ,ل,,,ل
زحزح,ز,ح,ز,ح,ل,,
زحلف,ز,ح,ل,ف,ل,,ل
زحلق,ز,ح,ل,ق,ل,,
زحول,ز,ح,و,ل,ل,,
زخرف,ز,خ,ر,ف,ل,,
زخور,ز,خ,و,ر,ل,,
زرأم,ز,ر,أ,م,,,ل
زرزر,ز,ر,ز,ر,ل,,
زرقف,ز,ر,ق,ف,,ل,
زرنق,ز,ر,ن,ق,ل,,
زعبق,ز,ع,ب,ق,ل,,
زعزع,ز,ع,ز,ع,ل,,
زعفر,ز,ع,ف,ر,ل,,
زغزغ,ز,غ,ز,غ,ل,,
زفزف,ز,ف,ز,ف,ل,,
زكزك,ز,ك,ز,ك,ل,,
زلأم,ز,ل,أ,م,,,ل
زلحب,ز,ل,ح,ب,ل,,
زلحف,ز,ل,ح,ف,ل,,ل
زلزل,ز,ل,ز,ل,ل,,
زلعب,ز,ل,ع,ب,,,ل
زلغب,ز,ل,غ,ب,,,ل
زمأت,ز,م,أ,ت,,,ل
زمأج,ز,م,أ,ج,,,ل
زمأر,ز,م,أ,ر,,,ل
زمأك,ز,م,أ,ك,,,ل
زمجر,ز,م,ج,ر,ل,,ل
زمخر,ز,م,خ,ر,ل,,ل
زمزم,ز,م,ز,م,ل,,
زمهر,ز,م,ه,ر,,,ل
زمهل,ز,م,ه,ل,ل,,ل
زنتر,ز,ن,ت,ر,ل,,
زندق,ز,ن,د,ق,ل,,
زهلج,ز,ه,ل,ج,ل,,
زهلق,ز,ه,ل,ق,ل,,
