الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,أفعل,فعّل,فاعل,انفعل,افتعل,افعلّ,تفاعل,تفعّل,استفعل,افعوعل,افعوّل,افعالّ
رزز,ر,ز,ز,ل,م,,,ل,,,,,,,
رزغ,ر,ز,غ,ك,,م,,ل,,,,م,,,
رزف,ر,ز,ف,ك,ل,,,,,,,,,,
رزق,ر,ز,ق,,,,,ك,,,,م,,,
رزم,ر,ز,م,ل,ك,ك,,,,,ل,,,,ل
رزن,ر,ز,ن,,,م,,,,ل,ل,,,,
رزي,ر,ز,ي,ك,,,,,,,,,,,
رسب,ر,س,ب,ك,,,,,,,,,,,
رسح,ر,س,ح,م,,,,,,,,,,,
رسخ,ر,س,خ,م,,,,,,,,,,,
رسس,ر,س,س,ك,ك,م,,ل,,م,,,,,
رسع,ر,س,ع,,ك,,,,,,,,,,
رسغ,ر,س,غ,,ك,م,,ل,,,,,,,
رسف,ر,س,ف,م,,,,ل,,,,,,,
رسل,ر,س,ل,ك,ك,ك,,,,ل,ل,ل,,,
رسم,ر,س,م,م,م,,,ك,,,ك,,,,
رسن,ر,س,ن,ك,,,,,,,,,,,
رسو,ر,س,و,ك,,م,,,,,ل,,,,
رشح,ر,ش,ح,ك,م,,,ل,,,ك,ك,,,
رشد,ر,ش,د,ك,م,,,,,,,ك,,,
رشش,ر,ش,ش,ك,,,,,,,ل,ل,,,
رشف,ر,ش,ف,م,م,,,م,,,م,,,,
رشق,ر,ش,ق,ك,,م,,,,ل,ل,,,,
رشم,ر,ش,م,ل,ل,,,ل,,,,,,,
رشو,ر,ش,و,ك,,م,,ك,,,م,ك,,,
رصد,ر,ص,د,ك,,م,,م,,ل,ك,,,,
رصص,ر,ص,ص,,ك,,,ل,,ل,ل,,,,
رصع,ر,ص,ع,م,ك,م,,ك,,ل,ل,,,,
رصف,ر,ص,ف,ل,م,,,ل,,ل,ل,,,,
رصق,ر,ص,ق,م,,,,ل,,,,,,,
رصن,ر,ص,ن,م,م,,,,,,,,,,
رصو,ر,ص,و,ل,,,,,,,,,,,
رضب,ر,ض,ب,ل,,,,,,,م,,,,
رضح,ر,ض,ح,,,,,ل,,,ك,,,,
رضخ,ر,ض,خ,ل,,م,,م,,ل,ك,,,,
رضد,ر,ض,د,,,,,ل,,,,,,,
رضض,ر,ض,ض,ك,م,,,ل,,,ل,,,,
رضع,ر,ض,ع,ك,,ك,,ك,,ل,,ك,,,
رضف,ر,ض,ف,,م,,,,,,,,,,
رضك,ر,ض,ك,م,,,,,,,,,,,
رضم,ر,ض,م,,,,,ل,,,,,,,
رضو,ر,ض,و,م,م,م,,ك,,ك,م,م,,,
رطأ,ر,ط,أ,ل,,,,,,,,ك,,,
رطب,ر,ط,ب,ك,ك,,,,,,ل,,,,
رطس,ر,ط,س,,,,,,ل,,,,,,
رطط,ر,ط,ط,ل,,,,,,,,م,,,
رطل,ر,ط,ل,ل,م,م,,,,,,م,,,
رطم,ر,ط,م,ل,,,,ك,,ل,م,,,,
رطن,ر,ط,ن,,,م,,,,ل,,,,,
رطي,ر,ط,ي,ل,,,,,,,,,,,
رعب,ر,ع,ب,م,ك,,,ل,,,,,,,
رعث,ر,ع,ث,,م,,,ل,,,ل,,,,
رعج,ر,ع,ج,ك,,,,ل,,,,,,,
رعد,ر,ع,د,ك,,,,ل,,,ل,,,,
رعز,ر,ع,ز,,,ك,,,,,,,,,
رعس,ر,ع,س,م,,,,ل,,,ل,,,,
رعش,ر,ع,ش,م,م,,,ل,,,,,,,
رعص,ر,ع,ص,م,,,,ل,,,ل,,,,
رعظ,ر,ع,ظ,م,م,,,,,,ل,,,,
رعف,ر,ع,ف,م,,,,ل,,,,ك,,,
رعل,ر,ع,ل,ك,ل,,,,,,,ل,,,
رعم,ر,ع,م,ل,م,,,,,,,,,,
رعن,ر,ع,ن,م,,,,,,,,,,,
رعو,ر,ع,و,,,,,,ل,,,,,,
رعي,ر,ع,ي,ك,م,ك,,ك,,,ك,م,,,
رغب,ر,غ,ب,ك,م,,,ك,,ل,,,,,
رغث,ر,غ,ث,ك,م,,,م,,,,,,,
رغد,ر,غ,د,ك,,,,,,,,م,,,ل
رغز,ر,غ,ز,,,,,,,,,م,,,
رغس,ر,غ,س,م,م,,,,,,,م,,,
رغف,ر,غ,ف,ل,م,,,,,,,,,,
رغل,ر,غ,ل,ك,,,,,,,,,,,
رغم,ر,غ,م,ك,م,ك,,,,,ك,,,,
رغن,ر,غ,ن,ك,,,,,,,,,,,
رغو,ر,غ,و,ك,ك,,,م,,ل,,,,,
رفأ,ر,ف,أ,ك,ك,ك,,,,ل,,,,,
رفت,ر,ف,ت,,,,,,ل,,ل,,,,
رفث,ر,ف,ث,ل,,م,,,,ل,,,,,
رفح,ر,ف,ح,,م,,,,,,,,,,
رفد,ر,ف,د,ك,ك,م,,ك,,ل,,م,,,
رفش,ر,ف,ش,ل,م,,,,,,,,,,
رفص,ر,ف,ص,,,,,ل,,ك,م,,,,
رفض,ر,ف,ض,ك,ل,,,,ل,,ل,ل,,,
رفع,ر,ف,ع,,ك,م,,ك,,ل,ك,ك,,,
رفغ,ر,ف,غ,ك,,,,,,,ك,,,,
رفف,ر,ف,ف,ل,,,,ل,,,,,,,
رفق,ر,ف,ق,م,,م,,ل,,ل,ل,م,,,
رفل,ر,ف,ل,ك,ك,,,,,,ل,,,,
رفه,ر,ف,ه,ك,ك,,,,,,ل,ل,,,
رفو,ر,ف,و,ك,م,م,,,,ل,,,,,
رقأ,ر,ق,أ,م,,,,,,,,,,,
رقب,ر,ق,ب,م,,م,,ك,,,م,,,,
رقح,ر,ق,ح,,م,,,ل,,,ل,,,,
رقد,ر,ق,د,ك,,,,,ل,ل,,ل,,,
رقش,ر,ق,ش,,ك,,,ل,,,ل,,,,
رقص,ر,ق,ص,ك,م,,,ل,,,ل,,,,
رقط,ر,ق,ط,,ك,,,,ل,,ل,,,,ل
رقع,ر,ق,ع,ل,م,م,,ل,,,ل,ل,,,
رقق,ر,ق,ق,ك,ك,,,,,ل,ك,ك,,,
رقل,ر,ق,ل,ك,,,,,,,,,,,
رقم,ر,ق,م,,ك,,,,,,,,,,
رقن,ر,ق,ن,ك,ك,,,ل,,,ل,ل,,,
رقي,ر,ق,ي,,ك,,,ك,,ل,ك,ك,,,
ركب,ر,ك,ب,ك,م,م,,م,,ل,ل,م,,,
ركح,ر,ك,ح,ك,,,,ل,,,ل,,,,
ركد,ر,ك,د,م,,,,,,ل,,,,,
ركز,ر,ك,ز,ل,م,,,ل,,,ل,,,,
ركس,ر,ك,س,ك,,,,ك,,ل,,,,,
ركض,ر,ك,ض,ل,,م,,ل,,ك,,,,,
ركع,ر,ك,ع,م,م,,,,,ل,ل,,,,
ركف,ر,ك,ف,,,,,ل,,,,,,,
ركك,ر,ك,ك,ك,ل,,,ل,,,,م,,,
ركل,ر,ك,ل,,م,م,,,,ل,ل,,,,
ركم,ر,ك,م,,م,,,ل,,ل,,,,,
ركن,ر,ك,ن,ك,م,,,,,,ل,,,,
ركو,ر,ك,و,ك,,ل,,ل,,,ل,,,,
رمأ,ر,م,أ,ل,,,,,,,,,,,
رمث,ر,م,ث,ل,ك,,,,,,,ك,,,
رمج,ر,م,ج,,م,,,,,,,,,,
رمح,ر,م,ح,,,م,,,,ل,,,,,
رمخ,ر,م,خ,ل,,,,,,,,,,,
رمد,ر,م,د,ك,ك,,,,ل,,,,,,ل
رمز,ر,م,ز,,ك,,,ل,,ل,ل,,,,ل
رمس,ر,م,س,م,,م,,ل,,,,,,,
رمش,ر,م,ش,ل,,,,,,,,,,,
رمص,ر,م,ص,م,,,,,,,,,,,
رمض,ر,م,ض,م,م,,,ل,,,ك,,,,
رمع,ر,م,ع,ل,ل,,,,,,ل,,,,
رمغ,ر,م,غ,,م,,,,,,,,,,
رمق,ر,م,ق,,ك,ك,,,ل,ل,م,,,,ل
رمك,ر,م,ك,م,,,,,ل,,,ل,,,
رمل,ر,م,ل,ك,ك,,,ل,,,ل,,,,
رمم,ر,م,م,ل,م,,,ك,,,ك,ل,,,
رمي,ر,م,ي,ك,,ك,,ك,,ك,ل,,,,
رنح,ر,ن,ح,,ك,,,ل,,,ل,,,,
رنخ,ر,ن,خ,,م,,,,,,ل,,,,
رنع,ر,ن,ع,,ك,,,,,,,,,,
رنف,ر,ن,ف,ل,,م,,,,,,,,,
رنق,ر,ن,ق,ك,ك,,,,,,ل,,,,
رنم,ر,ن,م,,ل,,,,,,ل,,,,
رنن,ر,ن,ن,ل,ك,,,,,,,ل,,,
رنو,ر,ن,و,م,ك,م,,,,ل,ل,,,,
رهب,ر,ه,ب,ك,ك,,,,,,ك,م,,,
رهج,ر,ه,ج,ك,,,,,,,,,,,
رهد,ر,ه,د,,ل,,,,,,,,,,
رهز,ر,ه,ز,,,,,ل,,,,,,,
رهس,ر,ه,س,,,,,ل,,,ل,,,,
رهش,ر,ه,ش,,,,,ك,,,,,,,
رهص,ر,ه,ص,ك,,م,,,,,,,,,
رهط,ر,ه,ط,,ك,,,ل,,,,,,,
رهف,ر,ه,ف,ك,,,,,,,,,,,
رهق,ر,ه,ق,ك,م,ك,,,,,,,,,
رهك,ر,ه,ك,,,,,ل,,,,,,,
رهل,ر,ه,ل,م,م,,,,,,ل,,,,
رهم,ر,ه,م,ل,,,,,,,,,,,
رهن,ر,ه,ن,ك,,م,,ك,,ل,,ك,,,
رهو,ر,ه,و,ك,,م,,ل,,ل,,,,,
روأ,ر,و,أ,ل,ل,,,,,,ل,,,,
روب,ر,و,ب,م,ك,,,,,,,,,,
روج,ر,و,ج,,ك,,,,,,ل,,,,
روح,ر,و,ح,ك,ك,ك,,ل,,ك,ك,ك,,,
رود,ر,و,د,ك,م,م,,ك,,,,ك,,,
روز,ر,و,ز,,م,م,,,,,,,,,
روس,ر,و,س,,,,,ل,,,,ل,,,
روش,ر,و,ش,,ل,,,,,,,,,,
روض,ر,و,ض,ك,ك,م,,ل,,ك,,ل,,,
روع,ر,و,ع,ك,م,,,ل,,,ل,ل,,,
روغ,ر,و,غ,ك,م,ك,,ك,,ل,ل,,,,
روق,ر,و,ق,م,ك,م,,,,م,ل,,,,
رول,ر,و,ل,,ك,,,,,,ل,,,,
روم,ر,و,م,,ك,,,,,,ل,,,,
روي,ر,و,ي,م,ك,م,,ك,,,ك,,,,
ريأ,ر,ي,أ,,ك,م,,,,,,,,,
ريب,ر,ي,ب,ك,,,,ك,,,ل,ل,,,
ريث,ر,ي,ث,م,ك,,,,,,ل,م,,,
ريخ,ر,ي,خ,,م,,,,,,,,,,
رير,ر,ي,ر,م,ل,,,,,,,,,,
ريس,ر,ي,س,,,,,ل,,,,ل,,,
ريش,ر,ي,ش,ك,م,,,ك,,,ل,,,,
ريع,ر,ي,ع,ك,ك,,,,,,ل,ل,,,
ريغ,ر,ي,غ,,م,,,,,,ل,,,,
ريف,ر,ي,ف,ل,,ل,,,,,ل,,,,
ريق,ر,ي,ق,م,م,,,,,,ك,,,,
ريل,ر,ي,ل,,ل,,,,,,,,,,
ريم,ر,ي,م,,ل,,,,,,,,,,
رين,ر,ي,ن,ل,,,,,,,,,,,
ريه,ر,ي,ه,,م,,,,,,ل,,,,
ريي,ر,ي,ي,,م,,,,,,,,,,
زأب,ز,أ,ب,,,,,ك,,,,,,,
زأر,ز,أ,ر,ل,,,,,,,ل,,,,
زأز,ز,أ,ز,,,,,,,,ل,,,,
زأف,ز,أ,ف,ك,,,,,,,,,,,
زأك,ز,أ,ك,,,,,,,ل,,,,,
زأم,ز,أ,م,م,م,,,ل,,,,,,,
زأي,ز,أ,ي,م,,,,,,,,,,,
زبب,ز,ب,ب,ك,ك,,,ك,,,ل,,,,
زبد,ز,ب,د,ل,ك,م,,ل,,,ك,,,,
زبر,ز,ب,ر,ك,م,,,,,,ل,,,,
زبع,ز,ب,ع,,,,,,,,ل,,,,
زبق,ز,ب,ق,,,,ل,,,,,,,,
زبل,ز,ب,ل,,م,,,م,,,,,,,
زبن,ز,ب,ن,,,ك,ل,,,ل,م,م,,,
زبي,ز,ب,ي,م,م,,,م,,ل,م,,,,
زتت,ز,ت,ت,,م,,,,,,ل,,,,
زجج,ز,ج,ج,م,م,,,ل,,,,,,,
زجر,ز,ج,ر,,,,ل,ك,,ل,,,,,
زجل,ز,ج,ل,,,ل,,,,,,,,,
زجو,ز,ج,و,م,ك,,,م,,,ل,,,,
زحر,ز,ح,ر,,ك,م,,,,,ل,,,,
زحف,ز,ح,ف,ك,م,م,,ل,,ل,ل,,,,
زحك,ز,ح,ك,ل,,م,,,,ل,,,,,
زحل,ز,ح,ل,م,م,,,,,,ل,,,,ل
زحم,ز,ح,م,,,م,,ل,,ل,,,,,
زحن,ز,ح,ن,,,,,,,,ك,,,,
زخر,ز,خ,ر,,,م,,,,,ل,,,,
زخف,ز,خ,ف,,ل,,,,,,ل,,,,
زخم,ز,خ,م,ل,,,,م,,,,,,,
زدغ,ز,د,غ,,,,,,,,ل,,,,
زدف,ز,د,ف,ك,,,,,,,,,,,
زدو,ز,د,و,ك,,,,,,,,,,,
زرأ,ز,ر,أ,ل,,,,,,,,,,,
زرب,ز,ر,ب,,,,ل,,ل,,,,,,
زرد,ز,ر,د,م,م,,,م,,,م,,,,
زرر,ز,ر,ر,م,م,م,,,,,ل,,,,
زرع,ز,ر,ع,ل,,ك,,ل,,,ل,م,,,
زرف,ز,ر,ف,ك,ك,,ل,,,,,,,,
زرق,ز,ر,ق,ك,,,ل,,ل,,,,,,ل
زرم,ز,ر,م,ك,م,,,م,,,,,,,ل
زري,ز,ر,ي,ك,,م,,م,,,ل,م,,,
زعب,ز,ع,ب,,,,,ك,,,ك,,,,
زعج,ز,ع,ج,م,,,ل,,,,,,,,
زعر,ز,ع,ر,,ل,,,,ل,,,,,,ل
زعف,ز,ع,ف,ك,,,,م,,,,,,,
زعق,ز,ع,ق,ك,,,ل,,,,,,,,
زعل,ز,ع,ل,م,,,,,,,ل,,,,
زعم,ز,ع,م,ك,,م,,,,ل,ك,,,,
زغب,ز,غ,ب,ل,ل,,,م,ل,,,,,,ل
زغد,ز,غ,د,م,,,,,,,ل,,,,
زغر,ز,غ,ر,,,,,ك,,,,,,,
زغف,ز,غ,ف,,,,,م,,,,,,,
زغل,ز,غ,ل,ك,,,,,,,,,,,
زغم,ز,غ,م,,,,,,,,ل,,,,
زفت,ز,ف,ت,,م,,,م,,,,,,,
زفر,ز,ف,ر,,,,,م,,,,,,,
زفف,ز,ف,ف,ك,,,,م,,,,م,,,
زفي,ز,ف,ي,م,,,,,,,,,,,
زقب,ز,ق,ب,,ل,,ل,,,,,,,,
زقف,ز,ق,ف,,,,,م,,,م,,,,
زقق,ز,ق,ق,,م,,,,,,,,,,
زقم,ز,ق,م,م,م,,,م,,,ك,,,,
زقن,ز,ق,ن,م,,,,,,,,,,,
زقو,ز,ق,و,م,,,,,,,,,,,
زقي,ز,ق,ي,م,,,,,,,,,,,
زكأ,ز,ك,أ,م,,,,م,,,,,,,
زكب,ز,ك,ب,,,,ل,,,,,,,,
زكت,ز,ك,ت,ل,م,,,,,,,,,,
زكر,ز,ك,ر,,ك,,,,,,ل,,,,
زكك,ز,ك,ك,ك,,,,ل,,,ل,,,,
زكم,ز,ك,م,م,ل,,,,,,,,,,
زكن,ز,ك,ن,ك,ل,م,,,,,,,,,
زكو,ز,ك,و,ك,ك,,,,,,ل,,,,
زلج,ز,ل,ج,ك,ك,,ل,,,,ك,,,,
زلح,ز,ل,ح,,,,,,,,م,,,,
زلخ,ز,ل,خ,ك,م,,,,,,ل,,,,
زلع,ز,ل,ع,م,,,,م,,,ل,,,,
زلغ,ز,ل,غ,,,,,ل,,,ل,,,,
زلف,ز,ل,ف,م,ك,,,ك,,,ل,,,,
زلق,ز,ل,ق,ك,م,,ل,,,,ل,,,,
زلل,ز,ل,ل,م,م,,,,,,,م,,,
زلم,ز,ل,م,,م,,,م,ل,,,,,,
زمت,ز,م,ت,,,,,,,,ل,,,,
زمح,ز,م,ح,,ل,,,,,,,,,,
زمخ,ز,م,خ,,,,,,,,ل,,,,
زمر,ز,م,ر,,ك,,,,,,ل,ل,,,
زمع,ز,م,ع,ك,ك,,,,,,ل,,,,
زمك,ز,م,ك,,م,,,,,,,,,,ل
زمل,ز,م,ل,,م,م,,ك,,ل,ل,,,,
زمم,ز,م,م,م,م,ك,ل,ك,,,,,,,
زمن,ز,م,ن,ك,,م,,,,,,,,,
زنأ,ز,ن,أ,م,ل,,,,,,,,,,
زنج,ز,ن,ج,,,م,,,,,ل,,,,
زنح,ز,ن,ح,,ك,م,,,,,ك,,,,
زنخ,ز,ن,خ,,ل,,,,,,ل,,,,
زند,ز,ن,د,ل,ك,,,,,,ل,,,,
زنر,ز,ن,ر,,ك,,,,,,ل,,,,
زنط,ز,ن,ط,,,,,,,ل,,,,,
زنف,ز,ن,ف,,,,,,,,ل,,,,
زنق,ز,ن,ق,ل,ك,,,,,,,,,,
زنم,ز,ن,م,ل,م,,,,,,,,,,
زنن,ز,ن,ن,م,ل,,,,,,,,,,
زني,ز,ن,ي,م,ك,ك,,,,,,,,,
زهب,ز,ه,ب,,,,,ك,,,,,,,
زهد,ز,ه,د,ك,م,,,م,,م,ل,,,,
زهر,ز,ه,ر,ك,م,,,ل,ل,,,,,,ل
زهف,ز,ه,ف,ك,,,ل,ك,,,ل,,,,
زهق,ز,ه,ق,ك,,ك,ل,,,,,,,,
زهم,ز,ه,م,ك,,م,,,,,,,,,
زهو,ز,ه,و,ل,ك,,,ك,,,,,,,
زوج,ز,و,ج,ك,م,ك,,ل,,ل,ك,,,,
زوح,ز,و,ح,م,,,ل,,,,,,,,
زود,ز,و,د,م,م,,,ل,,,ك,ل,,,
زور,ز,و,ر,م,ك,,,م,ل,ل,ك,م,,,ل
زوط,ز,و,ط,,ل,,,,ل,,,,,,
زوع,ز,و,ع,,م,,,,,,ل,,,,
زوغ,ز,و,غ,م,,م,,,,,,,,,
زوف,ز,و,ف,,,,,,,ل,,,,,
زوق,ز,و,ق,,م,,,,,,,,,,
زوك,ز,و,ك,ل,,,,,,ل,,,,,
زول,ز,و,ل,م,م,ك,ل,,ل,ل,ك,م,,,ل
زوي,ز,و,ي,ل,ك,,ل,,,,ل,,,,
زيب,ز,ي,ب,,,,,,,,ل,,,,
زيت,ز,ي,ت,ل,م,,,ل,,,,ل,,,
زيح,ز,ي,ح,م,,,ل,,,,,,,,
زيخ,ز,ي,خ,م,,,,,,,ل,,,,
زيد,ز,ي,د,م,ك,ك,,ك,,ل,ل,ك,,,
زير,ز,ي,ر,,م,,,,,,,,,,
زيغ,ز,ي,غ,م,م,,,,,ل,ل,,,,
زيف,ز,ي,ف,,ك,,,,,,ل,,,,
زيق,ز,ي,ق,,م,,,,,,ل,,,,
زيل,ز,ي,ل,م,م,م,ل,,,ل,ل,,,,
زيم,ز,ي,م,,,,,,,,ل,,,,
زين,ز,ي,ن,ك,م,,,ل,ل,,ل,,,,ل
زيي,ز,ي,ي,,م,,,ل,,,ل,,,,
سأد,س,أ,د,ك,,,,,,,,,,,
سأر,س,أ,ر,ل,,,,,,ل,م,,,,
سأف,س,أ,ف,,,,ل,,,,,,,,
سأل,س,أ,ل,م,,م,,,,ل,ل,,,,
سأم,س,أ,م,م,,,,,,,,,,,
سأو,س,أ,و,م,,,,,,,,,,,
سأي,س,أ,ي,م,,,,,,,,,,,
سبأ,س,ب,أ,ل,,,ل,م,,,,,,,
سبب,س,ب,ب,,م,م,,ل,,ل,ل,ل,,,
سبت,س,ب,ت,ل,م,,ل,,,,,,,,
سبج,س,ب,ج,,,,,,,,ل,,,,
سبح,س,ب,ح,م,ك,,,,,,,,,,
سبخ,س,ب,خ,ل,ك,,,,,,ل,,,,
سبد,س,ب,د,ك,ك,,,,,,,,,,
سبر,س,ب,ر,م,,,,م,,,,,,,
سبط,س,ب,ط,ل,ل,,,,,,,,,,
سبع,س,ب,ع,ك,ك,م,,ك,,,,,,,
سبغ,س,ب,غ,ك,ك,,,,,,,,,,
سبق,س,ب,ق,ك,ك,ك,,ك,,ك,,,,,
سبك,س,ب,ك,,م,,ل,,,,ل,,,,
سبل,س,ب,ل,ك,م,,,,,,,,,,
سبن,س,ب,ن,ل,,,,,,,,,,,
سبي,س,ب,ي,,,,,م,,ل,ل,,,,
ستر,س,ت,ر,,م,م,ل,ل,,,ل,,,,
ستل,س,ت,ل,,,ك,ل,ل,,ل,,,,,
ستن,س,ت,ن,ل,,,,,,,,,,,
سجح,س,ج,ح,ل,ل,,ل,,,,,,,,
سجد,س,ج,د,ك,,,ل,,,,,,,,
سجر,س,ج,ر,ل,ك,م,ل,,,,,,,,
سجس,س,ج,س,,ك,,,,,,,,,,
سجع,س,ج,ع,,ك,,,,,,,,,,
سجف,س,ج,ف,ك,م,,,م,,,,,,,
سجل,س,ج,ل,ك,ك,م,ل,,,ل,,,,,
سجم,س,ج,م,ك,ك,,ل,,,,,,,,
سجن,س,ج,ن,ل,م,,,,,,,,,,
سجو,س,ج,و,ك,ك,م,,,,,ل,,,,
سحب,س,ح,ب,ك,,,ل,,,,ل,,,,
سحت,س,ح,ت,ك,ك,,,,,,,,,,
سحج,س,ح,ج,,م,,ل,,,,ل,,,,
سحح,س,ح,ح,,ل,,ل,,,,ل,,,,
سحر,س,ح,ر,ل,ك,,,ل,,,ل,,,,
سحط,س,ح,ط,,,,ل,,,,,,,,
سحف,س,ح,ف,ك,,,,,,,,,,,
سحق,س,ح,ق,ك,م,ك,ل,,,,ل,,,,
سحل,س,ح,ل,م,,ك,ل,,,,,,,,
سحم,س,ح,م,ل,م,,,,,,,,,,
سحن,س,ح,ن,,,م,,,,,م,,,,
سحو,س,ح,و,ك,م,,ل,م,,,,,,,
سحي,س,ح,ي,ك,م,,ل,م,,,,,,,
سخد,س,خ,د,,ل,,,,,,,,,,
سخر,س,خ,ر,,م,,,,,,ك,ل,,,
سخط,س,خ,ط,م,,,,,,,ك,,,,
سخف,س,خ,ف,ل,م,م,,,,,,,,,
سخل,س,خ,ل,م,ك,,,,,,,,,,
سخم,س,خ,م,,ك,,,,,,ل,,,,
سخن,س,خ,ن,ك,م,,,,,,,,,,
سخو,س,خ,و,م,ك,,,,,ل,ل,,,,
سدج,س,د,ج,,,,ل,,,,ل,,,,
سدح,س,د,ح,,م,م,ل,,,,,,,,
سدخ,س,د,خ,,,,ل,,,,,,,,
سدد,س,د,د,ك,ك,,ل,ل,,,ل,,,,
سدر,س,د,ر,م,,,ل,,,,ل,,,,
سدس,س,د,س,ل,م,,,,,,,,,,
سدف,س,د,ف,ك,م,,,,,,,,,,
سدك,س,د,ك,,م,,,,,,,,,,
سدل,س,د,ل,م,م,,ل,,,,ل,,,,
سدم,س,د,م,,م,,ل,,,,,,,,
سدو,س,د,و,ل,,,,ك,,,,,,,
سدي,س,د,ي,ك,ك,,,,,,م,,,,
سرأ,س,ر,أ,ل,ل,,,,,,,,,,
سرب,س,ر,ب,م,ك,,ل,,,,ل,,,,
سرج,س,ر,ج,م,ك,,,,,,,م,,,
سرح,س,ر,ح,,ك,,ل,,,,ل,,,,
سرد,س,ر,د,ك,م,,,,,,ك,,,,
سرر,س,ر,ر,ك,م,م,,,,ل,ك,ك,,,
سرط,س,ر,ط,,,,ل,م,,,م,,,,
سرع,س,ر,ع,ك,ل,ل,,,,ل,ل,,,,
سرف,س,ر,ف,ك,,,,,,,,,,,
سرق,س,ر,ق,,م,م,ل,ك,,,ك,,,,
سرك,س,ر,ك,,,,,,,ل,,,,,
سرم,س,ر,م,,م,,,,,,ل,,,,
سرو,س,ر,و,م,م,,ل,م,,,ل,,,,
سري,س,ر,ي,ك,ك,م,,ك,,,ك,,,,
سسي,س,س,ي,,,م,,,,,,,,,
سطح,س,ط,ح,,م,,ل,,,,ل,,,,
سطر,س,ط,ر,ك,ك,,,ك,,,,,,,
سطع,س,ط,ع,,م,,,,,,,,,,
سطن,س,ط,ن,,م,,,,,,,,,,
سطو,س,ط,و,ل,,م,,,,,,,,,
سعب,س,ع,ب,,م,,ل,,,,ل,,,,
سعد,س,ع,د,م,,م,,,,,ل,ل,,,
سعر,س,ع,ر,ك,ك,م,,ل,,,ل,,,,
سعط,س,ع,ط,م,,,,ك,,,,,,,
سعف,س,ع,ف,ك,م,م,,,,,ل,,,,
سعل,س,ع,ل,م,,,,,,,,ل,,,
سعم,س,ع,م,,م,,,,,,,,,,
سعن,س,ع,ن,ل,,,,,,,ل,,,,
سعي,س,ع,ي,ك,,م,,,,ل,,م,,,
سغب,س,غ,ب,ل,,,,,,,,,,,
سغم,س,غ,م,م,م,,,,,,,,,,
سفت,س,ف,ت,,,,,م,,,,,,,
سفح,س,ف,ح,,ل,ك,,,,ل,,,,,
سفد,س,ف,د,م,م,م,,,,ل,م,م,,,
سفر,س,ف,ر,ك,م,ل,ل,,,,ك,م,,,
سفط,س,ف,ط,م,م,,,م,,,م,,,,
سفع,س,ف,ع,,م,م,,ك,,,ل,,,,
سفف,س,ف,ف,ك,,,,م,,,,,,,
سفك,س,ف,ك,,م,,ل,,,,,,,,
سفل,س,ف,ل,,ك,م,,ل,,,ل,,,,
سفن,س,ف,ن,,م,,,,,,,,,,
سفه,س,ف,ه,م,م,م,,,,ل,ك,,,,
سفو,س,ف,و,ك,,م,,,,,,,,,
سفي,س,ف,ي,م,,,,م,,,,,,,
سقب,س,ق,ب,ك,,م,,,,ل,,,,,
سقد,س,ق,د,م,م,,,,,,,,,,
سقر,س,ق,ر,ل,,,,,,,,,,,
سقط,س,ق,ط,ك,,ك,,,,ل,م,م,,,
سقع,س,ق,ع,,ك,,,ل,,,,,,,
سقف,س,ق,ف,م,ك,,,,,,ل,,,,
سقم,س,ق,م,ك,م,,,,,,,,,,
سقي,س,ق,ي,م,م,م,,ك,,ل,ك,ك,,,
سكب,س,ك,ب,,,,ل,,,,,,,,
سكت,س,ك,ت,ك,م,م,,,,,,,,,
سكر,س,ك,ر,م,م,,,,,ل,,,,,
سكع,س,ك,ع,,ك,,,,,,ل,,,,
سكف,س,ك,ف,ل,,,,,,,م,,,,
سكك,س,ك,ك,,,,ل,ل,,,ل,,,,
سكن,س,ك,ن,ك,م,م,,ل,,ل,ل,,,,
سكو,س,ك,و,,,م,,,,,,,,,
سلأ,س,ل,أ,,,,,م,,,,,,,
سلب,س,ل,ب,ل,ل,,ل,م,,,ل,,,,
سلت,س,ل,ت,,,,ل,م,,,,,,,
سلج,س,ل,ج,,,,,م,,,م,,,,
سلح,س,ل,ح,م,م,,,,,,ل,,,,
سلخ,س,ل,خ,,م,,ل,,ل,,ل,,,,
سلس,س,ل,س,ك,م,,,,,,,,,,
سلط,س,ل,ط,,م,,,,,,ل,,,,
سلع,س,ل,ع,ك,م,,ل,,,,ل,,,,
سلغ,س,ل,غ,,,,ل,,,,,,,,
سلف,س,ل,ف,ك,ك,ك,,ل,,ل,ل,ك,,,
سلق,س,ل,ق,ك,ل,,ل,ل,,,ك,,,,
سلك,س,ل,ك,م,م,,ل,,,,ل,,,,
سلل,س,ل,ل,ك,,,ل,ك,,,ل,,,,
سلم,س,ل,م,ك,ك,م,,ك,,ل,ك,ك,,,
سلو,س,ل,و,ك,م,,ل,ك,,,ل,,,,
سلي,س,ل,ي,ل,م,,,ل,,,,,,,
سمت,س,م,ت,,ك,م,,,,ل,م,,,,
سمج,س,م,ج,,م,,,,,,,م,,,
سمح,س,م,ح,ل,ك,ك,,,,ل,ل,,,,
سمد,س,م,د,م,م,,,,ل,,,,,,ل
سمر,س,م,ر,ك,م,م,,,ل,ل,ل,,,,ل
سمط,س,م,ط,ل,ك,,ل,,,,ك,,,,
سمع,س,م,ع,ك,ك,,,ك,,ل,ك,م,,,
